preco,quartos,banheiros,area,endereco,vagas_garagem,condominio,fonte,tipo,transacao,regiao,preco_m2,data_coleta,id_unico,id_simulado,preco_numerico,area_numerica,quartos_numerico,banheiros_numerico,bairro,cidade,uf,preco_por_m2,area_por_quarto,razao_banheiro_quarto,categoria_preco,categoria_area
"R$ 445,847",2 quartos,2 banheiros,69 m²,"Apartamento em Águas Claras, Brasília - DF - 001",0 vagas,R$ 3398,ZAP Imóveis DF,apartamento,venda,Águas Claras,"R$ 6,461/m²",2025-09-27 14:13,Apartamento_Águas Claras_69_445847_0,SIM_0001,445847.0,69,2,2,Águas Claras,Brasília,DF,6461.550724637681,34.5,1.0,Médio,Médio
"R$ 565,732",3 quartos,3 banheiros,110 m²,"Cobertura em Guará, Brasília - DF - 002",2 vagas,R$ 6119,ZAP Imóveis DF,cobertura,venda,Guará,"R$ 5,143/m²",2025-09-27 14:13,Cobertura_Guará_110_565732_1,SIM_0002,565732.0,110,3,3,Guará,Brasília,DF,5143.018181818182,36.666666666666664,1.0,Alto,Amplo
"R$ 400,000",1 quartos,1 banheiros,45 m²,"Studio em Asa Norte, Brasília - DF - 003",1 vagas,R$ 2431,ZAP Imóveis DF,studio,venda,Asa Norte,"R$ 8,888/m²",2025-09-27 14:13,Studio_Asa Norte_45_400000_2,SIM_0003,400000.0,45,1,1,Asa Norte,Brasília,DF,8888.888888888889,45.0,1.0,Médio,Compacto
"R$ 412,537",2 quartos,2 banheiros,98 m²,"Apartamento em Guará, Brasília - DF - 004",2 vagas,R$ 5674,ZAP Imóveis DF,apartamento,venda,Guará,"R$ 4,209/m²",2025-09-27 14:13,Apartamento_Guará_98_412537_3,SIM_0004,412537.0,98,2,2,Guará,Brasília,DF,4209.561224489796,49.0,1.0,Médio,Amplo
"R$ 358,645",2 quartos,2 banheiros,66 m²,"Apartamento em Guará, Brasília - DF - 005",2 vagas,R$ 3425,ZAP Imóveis DF,apartamento,venda,Guará,"R$ 5,434/m²",2025-09-27 14:13,Apartamento_Guará_66_358645_4,SIM_0005,358645.0,66,2,2,Guará,Brasília,DF,5434.015151515152,33.0,1.0,Médio,Médio
"R$ 250,000",1 quartos,1 banheiros,50 m²,"Studio em Guará, Brasília - DF - 006",1 vagas,R$ 3499,ZAP Imóveis DF,studio,venda,Guará,"R$ 5,000/m²",2025-09-27 14:13,Studio_Guará_50_250000_5,SIM_0006,250000.0,50,1,1,Guará,Brasília,DF,5000.0,50.0,1.0,Econômico,Compacto
"R$ 500,000",5 quartos,5 banheiros,120 m²,"Cobertura em Taguatinga, Brasília - DF - 007",0 vagas,R$ 5455,ZAP Imóveis DF,cobertura,venda,Taguatinga,"R$ 4,166/m²",2025-09-27 14:13,Cobertura_Taguatinga_120_500000_6,SIM_0007,500000.0,120,5,5,Taguatinga,Brasília,DF,4166.666666666667,24.0,1.0,Médio,Amplo
"R$ 500,000",3 quartos,2 banheiros,119 m²,"Cobertura em Taguatinga, Brasília - DF - 008",2 vagas,R$ 4548,ZAP Imóveis DF,cobertura,venda,Taguatinga,"R$ 4,201/m²",2025-09-27 14:13,Cobertura_Taguatinga_119_500000_7,SIM_0008,500000.0,119,3,2,Taguatinga,Brasília,DF,4201.680672268908,39.666666666666664,0.6666666666666666,Médio,Amplo
"R$ 625,252",3 quartos,2 banheiros,102 m²,"Apartamento em Vicente Pires, Brasília - DF - 001",2 vagas,R$ 7793,Viva Real DF,apartamento,venda,Vicente Pires,"R$ 6,129/m²",2025-09-27 14:13,Apartamento_Vicente Pires_102_625252_0,SIM_0001,625252.0,102,3,2,Vicente Pires,Brasília,DF,6129.921568627451,34.0,0.6666666666666666,Alto,Amplo
"R$ 366,667",1 quartos,1 banheiros,53 m²,"Apartamento em Sudoeste, Brasília - DF - 002",1 vagas,R$ 2222,Viva Real DF,apartamento,venda,Sudoeste,"R$ 6,918/m²",2025-09-27 14:13,Apartamento_Sudoeste_53_366667_1,SIM_0002,366667.0,53,1,1,Sudoeste,Brasília,DF,6918.245283018868,53.0,1.0,Médio,Compacto
