preco,quartos,banheiros,area,endereco,vagas_garagem,condominio,fonte,tipo,transacao,regiao,preco_m2,data_coleta,id_unico,id_simulado
"R$ 445,847",2 quartos,2 banheiros,69 m²,"Apartamento em Águas Claras, Brasília - DF - 001",0 vagas,R$ 3398,ZAP Imóveis DF,apartamento,venda,Águas Claras,"R$ 6,461/m²",2025-09-27 14:13,Apartamento_Águas Claras_69_445847_0,SIM_0001
"R$ 565,732",3 quartos,3 banheiros,110 m²,"Cobertura em Guará, Brasília - DF - 002",2 vagas,R$ 6119,ZAP Imóveis DF,cobertura,venda,Guará,"R$ 5,143/m²",2025-09-27 14:13,Cobertura_Guará_110_565732_1,SIM_0002
"R$ 400,000",1 quartos,1 banheiros,45 m²,"Studio em Asa Norte, Brasília - DF - 003",1 vagas,R$ 2431,ZAP Imóveis DF,studio,venda,Asa Norte,"R$ 8,888/m²",2025-09-27 14:13,Studio_Asa Norte_45_400000_2,SIM_0003
"R$ 412,537",2 quartos,2 banheiros,98 m²,"Apartamento em Guará, Brasília - DF - 004",2 vagas,R$ 5674,ZAP Imóveis DF,apartamento,venda,Guará,"R$ 4,209/m²",2025-09-27 14:13,Apartamento_Guará_98_412537_3,SIM_0004
"R$ 358,645",2 quartos,2 banheiros,66 m²,"Apartamento em Guará, Brasília - DF - 005",2 vagas,R$ 3425,ZAP Imóveis DF,apartamento,venda,Guará,"R$ 5,434/m²",2025-09-27 14:13,Apartamento_Guará_66_358645_4,SIM_0005
"R$ 250,000",1 quartos,1 banheiros,50 m²,"Studio em Guará, Brasília - DF - 006",1 vagas,R$ 3499,ZAP Imóveis DF,studio,venda,Guará,"R$ 5,000/m²",2025-09-27 14:13,Studio_Guará_50_250000_5,SIM_0006
"R$ 500,000",5 quartos,5 banheiros,120 m²,"Cobertura em Taguatinga, Brasília - DF - 007",0 vagas,R$ 5455,ZAP Imóveis DF,cobertura,venda,Taguatinga,"R$ 4,166/m²",2025-09-27 14:13,Cobertura_Taguatinga_120_500000_6,SIM_0007
"R$ 500,000",3 quartos,2 banheiros,119 m²,"Cobertura em Taguatinga, Brasília - DF - 008",2 vagas,R$ 4548,ZAP Imóveis DF,cobertura,venda,Taguatinga,"R$ 4,201/m²",2025-09-27 14:13,Cobertura_Taguatinga_119_500000_7,SIM_0008
"R$ 625,252",3 quartos,2 banheiros,102 m²,"Apartamento em Vicente Pires, Brasília - DF - 001",2 vagas,R$ 7793,Viva Real DF,apartamento,venda,Vicente Pires,"R$ 6,129/m²",2025-09-27 14:13,Apartamento_Vicente Pires_102_625252_0,SIM_0001
"R$ 366,667",1 quartos,1 banheiros,53 m²,"Apartamento em Sudoeste, Brasília - DF - 002",1 vagas,R$ 2222,Viva Real DF,apartamento,venda,Sudoeste,"R$ 6,918/m²",2025-09-27 14:13,Apartamento_Sudoeste_53_366667_1,SIM_0002
"R$ 710,219",3 quartos,3 banheiros,120 m²,"Apartamento em Águas Claras, Brasília - DF - 003",1 vagas,R$ 6971,Viva Real DF,apartamento,venda,Águas Claras,"R$ 5,918/m²",2025-09-27 14:13,Apartamento_Águas Claras_120_710219_2,SIM_0003
"R$ 433,082",2 quartos,2 banheiros,73 m²,"Apartamento em Águas Claras, Brasília - DF - 004",2 vagas,R$ 4506,Viva Real DF,apartamento,venda,Águas Claras,"R$ 5,932/m²",2025-09-27 14:13,Apartamento_Águas Claras_73_433082_3,SIM_0004
"R$ 722,336",2 quartos,2 banheiros,84 m²,"Apartamento em Asa Sul, Brasília - DF - 005",2 vagas,R$ 6224,Viva Real DF,apartamento,venda,Asa Sul,"R$ 8,599/m²",2025-09-27 14:13,Apartamento_Asa Sul_84_722336_4,SIM_0005
"R$ 365,443",3 quartos,3 banheiros,82 m²,"Apartamento em Taguatinga, Brasília - DF - 006",1 vagas,R$ 4953,Viva Real DF,apartamento,venda,Taguatinga,"R$ 4,456/m²",2025-09-27 14:13,Apartamento_Taguatinga_82_365443_5,SIM_0006
"R$ 400,000",1 quartos,1 banheiros,45 m²,"Flat em Asa Norte, Brasília - DF - 007",0 vagas,R$ 4797,Viva Real DF,flat,venda,Asa Norte,"R$ 8,888/m²",2025-09-27 14:13,Flat_Asa Norte_45_400000_6,SIM_0007
"R$ 500,000",4 quartos,4 banheiros,120 m²,"Cobertura em Taguatinga, Brasília - DF - 008",0 vagas,R$ 4248,Viva Real DF,cobertura,venda,Taguatinga,"R$ 4,166/m²",2025-09-27 14:13,Cobertura_Taguatinga_120_500000_7,SIM_0008
"R$ 450,000",1 quartos,1 banheiros,50 m²,"Studio em Asa Sul, Brasília - DF - 009",2 vagas,R$ 2401,Viva Real DF,studio,venda,Asa Sul,"R$ 9,000/m²",2025-09-27 14:13,Studio_Asa Sul_50_450000_8,SIM_0009
"R$ 280,000",1 quartos,1 banheiros,60 m²,"Flat em Vicente Pires, Brasília - DF - 010",1 vagas,R$ 2436,Viva Real DF,flat,venda,Vicente Pires,"R$ 4,666/m²",2025-09-27 14:13,Flat_Vicente Pires_60_280000_9,SIM_0010
"R$ 562,315",2 quartos,1 banheiros,91 m²,"Apartamento em Asa Sul, Brasília - DF - 001",2 vagas,R$ 6767,OLX Imóveis DF,apartamento,venda,Asa Sul,"R$ 6,179/m²",2025-09-27 14:13,Apartamento_Asa Sul_91_562315_0,SIM_0001
